iter	Passed	Remaining
0	142	141946
1	144	72080
2	146	48673
3	148	36988
4	151	30119
5	153	25440
6	155	22070
7	157	19586
8	160	17624
9	162	16057
10	164	14784
11	166	13734
12	169	12837
13	171	12062
14	173	11400
15	175	10801
16	177	10266
17	179	9789
18	181	9378
19	183	8997
20	185	8667
21	188	8367
22	190	8079
23	191	7803
24	194	7569
25	195	7336
26	197	7129
27	199	6932
28	201	6759
29	203	6592
30	206	6442
31	208	6300
32	210	6153
33	211	6008
34	213	5890
35	215	5783
36	217	5668
37	219	5551
38	221	5446
39	222	5350
40	224	5245
41	225	5149
42	227	5059
43	229	4976
44	230	4892
45	232	4824
46	234	4754
47	236	4689
48	238	4622
49	239	4558
50	241	4502
51	243	4442
52	244	4376
53	246	4318
54	247	4259
55	249	4205
56	251	4153
57	252	4102
58	253	4049
59	255	4010
60	257	3963
61	259	3919
62	260	3875
63	262	3846
64	264	3808
65	266	3765
66	267	3725
67	269	3688
68	270	3650
69	271	3612
70	272	3571
71	274	3532
72	275	3493
73	276	3457
74	277	3422
75	278	3387
76	279	3352
77	280	3317
78	281	3284
79	283	3263
80	285	3237
81	286	3207
82	287	3178
83	288	3148
84	289	3120
85	290	3092
86	292	3065
87	293	3038
88	293	3008
89	295	2982
90	295	2956
91	297	2932
92	298	2911
93	299	2889
94	301	2871
95	302	2844
96	303	2822
97	304	2800
98	305	2780
99	306	2754
100	307	2735
101	308	2719
102	310	2701
103	311	2684
104	312	2666
105	314	2652
106	315	2634
107	316	2615
108	317	2596
109	318	2577
110	319	2558
111	320	2541
112	321	2526
113	323	2510
114	324	2494
115	325	2477
116	325	2460
117	326	2443
118	327	2427
119	328	2409
120	329	2393
121	330	2378
122	331	2365
123	332	2352
124	333	2336
125	335	2324
126	336	2310
127	337	2296
128	337	2281
129	338	2267
130	339	2253
131	340	2239
132	341	2225
133	342	2211
134	342	2197
135	343	2183
136	344	2169
137	345	2155
138	345	2142
139	346	2129
140	347	2116
141	348	2103
142	349	2091
143	350	2081
144	351	2070
145	352	2060
146	353	2050
147	354	2038
148	355	2027
149	355	2016
150	356	2005
151	357	1993
152	358	1983
153	359	1972
154	359	1961
155	360	1951
156	361	1940
157	362	1930
158	362	1919
159	364	1911
160	365	1902
161	366	1893
162	367	1886
163	368	1879
164	369	1871
165	370	1863
166	371	1855
167	372	1846
168	373	1838
169	375	1831
170	376	1823
171	377	1815
172	378	1807
173	379	1799
174	380	1791
175	381	1784
176	382	1778
177	383	1771
178	384	1763
179	385	1756
180	386	1748
181	387	1741
182	388	1733
183	389	1726
184	390	1719
185	391	1712
186	392	1704
187	392	1697
188	393	1690
189	394	1683
190	396	1677
191	397	1671
192	398	1665
193	399	1658
194	400	1652
195	401	1646
196	402	1640
197	403	1634
198	404	1629
199	406	1626
200	407	1620
201	408	1615
202	409	1609
203	411	1605
204	412	1599
205	413	1594
206	414	1588
207	415	1582
208	416	1576
209	417	1571
210	418	1564
211	419	1558
212	420	1552
213	421	1547
214	422	1542
215	423	1536
216	424	1531
217	425	1525
218	426	1520
219	427	1515
220	428	1510
221	429	1505
222	430	1500
223	431	1495
224	432	1490
225	433	1485
226	434	1480
227	436	1476
228	437	1471
229	438	1466
230	439	1462
231	440	1458
232	441	1453
233	442	1448
234	443	1443
235	444	1439
236	445	1434
237	446	1429
238	447	1424
239	448	1419
240	449	1415
241	450	1409
242	450	1404
243	451	1400
244	452	1395
245	453	1391
246	454	1387
247	455	1382
248	456	1377
249	457	1373
250	458	1368
251	459	1364
252	460	1360
253	461	1356
254	462	1352
255	463	1348
256	464	1343
257	465	1339
258	466	1334
259	467	1330
260	468	1326
261	469	1321
262	470	1317
263	471	1313
264	472	1309
265	473	1305
266	473	1301
267	474	1297
268	475	1293
269	476	1289
270	477	1285
271	479	1282
272	480	1278
273	481	1274
274	482	1270
275	483	1267
276	484	1263
277	484	1259
278	486	1256
279	487	1252
280	488	1248
281	489	1245
282	490	1241
283	491	1238
284	492	1234
285	493	1231
286	494	1227
287	494	1223
288	495	1220
289	497	1216
290	498	1213
291	499	1210
292	500	1206
293	501	1203
294	501	1199
295	502	1196
296	504	1193
297	505	1190
298	506	1186
299	507	1183
300	508	1180
301	508	1176
302	509	1172
303	510	1168
304	511	1165
305	512	1161
306	513	1158
307	514	1156
308	515	1152
309	516	1149
310	517	1146
311	518	1143
312	519	1139
313	520	1136
314	521	1133
315	522	1130
316	523	1127
317	524	1124
318	525	1121
319	526	1117
320	527	1114
321	527	1111
322	528	1108
323	529	1105
324	530	1102
325	531	1099
326	532	1096
327	533	1093
328	534	1090
329	535	1087
330	536	1084
331	537	1081
332	538	1078
333	539	1075
334	540	1072
335	541	1070
336	542	1066
337	543	1063
338	544	1061
339	544	1057
340	545	1055
341	546	1052
342	547	1049
343	548	1046
344	549	1043
345	550	1041
346	551	1038
347	552	1035
348	553	1032
349	554	1029
350	555	1027
351	556	1024
352	557	1021
353	558	1018
354	559	1016
355	560	1013
356	561	1010
357	561	1007
358	562	1005
359	563	1002
360	565	1000
361	566	997
362	567	995
363	567	992
364	568	989
365	569	986
366	570	984
367	571	981
368	572	979
369	573	976
370	574	974
371	575	971
372	576	969
373	577	966
374	578	964
375	579	961
376	580	959
377	581	957
378	582	954
379	583	952
380	584	949
381	585	946
382	586	944
383	587	942
384	588	939
385	589	937
386	590	934
387	591	932
388	592	930
389	593	928
390	594	925
391	595	923
392	596	920
393	597	918
394	598	916
395	599	913
396	600	911
397	600	909
398	601	906
399	602	904
400	603	901
401	604	899
402	605	897
403	606	895
404	607	892
405	608	890
406	609	888
407	610	886
408	611	883
409	612	881
410	613	879
411	614	876
412	615	874
413	616	872
414	617	870
415	618	868
416	619	865
417	620	863
418	621	861
419	622	859
420	623	857
421	624	854
422	625	852
423	625	850
424	626	848
425	627	846
426	628	843
427	629	841
428	630	839
429	631	837
430	632	835
431	633	833
432	634	831
433	635	829
434	636	827
435	637	825
436	638	823
437	639	821
438	640	819
439	642	817
440	642	814
441	643	812
442	644	810
443	645	808
444	646	805
445	647	803
446	648	802
447	649	800
448	650	798
449	651	796
450	652	793
451	652	791
452	653	789
453	654	787
454	655	785
455	656	783
456	657	781
457	658	779
458	659	776
459	660	774
460	661	772
461	661	770
462	663	769
463	664	767
464	665	765
465	666	763
466	667	761
467	668	759
468	669	757
469	670	755
470	671	753
471	672	751
472	673	749
473	673	747
474	674	745
475	676	744
476	676	742
477	677	740
478	678	738
479	679	736
480	680	734
481	681	732
482	682	730
483	683	728
484	684	726
485	685	724
486	686	723
487	687	721
488	688	719
489	689	717
490	690	715
491	690	713
492	692	711
493	693	709
494	694	708
495	695	706
496	696	704
497	697	703
498	698	701
499	699	699
500	700	697
501	701	696
502	702	694
503	703	692
504	704	690
505	705	688
506	706	687
507	707	685
508	708	683
509	709	681
510	710	680
511	711	678
512	712	676
513	713	674
514	714	672
515	715	671
516	716	669
517	717	667
518	718	666
519	719	664
520	720	662
521	721	660
522	722	659
523	723	657
524	724	655
525	726	654
526	727	652
527	728	650
528	729	649
529	729	647
530	730	645
531	731	643
532	732	641
533	733	640
534	734	638
535	735	636
536	736	635
537	737	633
538	738	631
539	739	630
540	740	628
541	741	626
542	742	625
543	743	623
544	744	621
545	745	620
546	746	618
547	747	616
548	749	615
549	750	613
550	751	612
551	752	610
552	754	609
553	755	608
554	757	606
555	758	605
556	758	603
557	759	601
558	761	600
559	762	598
560	763	597
561	764	595
562	765	593
563	766	592
564	767	591
565	769	589
566	770	588
567	771	586
568	772	584
569	772	583
570	773	581
571	774	579
572	775	578
573	776	576
574	778	575
575	779	573
576	780	571
577	780	570
578	782	568
579	783	567
580	784	565
581	785	564
582	786	562
583	787	561
584	788	559
585	789	557
586	790	556
587	791	554
588	792	553
589	793	551
590	794	550
591	796	548
592	798	548
593	799	546
594	801	545
595	802	543
596	803	542
597	804	540
598	805	539
599	806	537
600	807	536
601	808	534
602	809	533
603	810	531
604	811	530
605	813	528
606	814	527
607	815	525
608	816	524
609	818	523
610	819	521
611	820	520
612	821	518
613	822	517
614	823	515
615	825	514
616	826	512
617	827	511
618	829	510
619	830	508
620	831	507
621	832	505
622	833	504
623	834	502
624	835	501
625	836	499
626	837	498
627	838	496
628	839	495
629	840	493
630	842	492
631	843	491
632	844	489
633	845	488
634	846	486
635	847	485
636	848	483
637	850	482
638	851	480
639	852	479
640	854	478
641	855	477
642	857	475
643	858	474
644	859	473
645	861	472
646	862	470
647	863	469
648	864	467
649	866	466
650	867	464
651	868	463
652	869	462
653	870	460
654	871	459
655	873	457
656	874	456
657	875	455
658	876	453
659	877	452
660	878	450
661	879	449
662	880	447
663	881	446
664	882	444
665	883	443
666	885	441
667	886	440
668	887	439
669	888	437
670	890	436
671	891	434
672	892	433
673	893	432
674	894	430
675	895	429
676	896	427
677	897	426
678	898	424
679	900	423
680	902	422
681	903	421
682	904	419
683	905	418
684	906	417
685	908	415
686	909	414
687	910	412
688	911	411
689	912	409
690	913	408
691	914	407
692	915	405
693	917	404
694	918	403
695	919	401
696	920	400
697	921	398
698	922	397
699	924	396
700	925	394
701	926	393
702	926	391
703	928	390
704	929	388
705	930	387
706	931	386
707	932	384
708	933	383
709	934	381
710	935	380
711	936	378
712	937	377
713	938	375
714	939	374
715	940	373
716	941	371
717	942	370
718	943	368
719	945	367
