iter	Passed	Remaining
0	131	131702
1	134	67087
2	136	45200
3	137	34345
4	139	27849
5	142	23544
6	144	20484
7	145	18084
8	148	16297
9	149	14826
10	151	13609
11	152	12560
12	155	11799
13	157	11100
14	158	10416
15	159	9834
16	160	9308
17	162	8855
18	163	8465
19	165	8109
20	166	7776
21	168	7506
22	170	7247
23	171	6981
24	172	6734
25	173	6503
26	174	6290
27	175	6097
28	177	5946
29	178	5787
30	180	5631
31	217	6581
32	219	6429
33	220	6274
34	222	6123
35	223	5978
36	224	5846
37	225	5717
38	227	5595
39	228	5479
40	229	5379
41	231	5279
42	232	5179
43	233	5082
44	235	4989
45	236	4900
46	237	4814
47	238	4732
48	239	4654
49	241	4579
50	243	4527
51	245	4467
52	246	4406
53	248	4346
54	249	4280
55	250	4224
56	252	4170
57	253	4116
58	254	4065
59	256	4015
60	257	3967
61	259	3920
62	260	3875
63	262	3831
64	263	3788
65	264	3746
66	266	3705
67	267	3671
68	268	3629
69	270	3595
70	272	3560
71	273	3523
72	274	3485
73	275	3446
74	276	3408
75	277	3374
76	278	3339
77	279	3302
78	280	3269
79	281	3238
80	282	3206
81	283	3176
82	288	3189
83	290	3165
84	292	3152
85	295	3135
86	296	3114
87	298	3096
88	299	3069
89	301	3049
90	302	3024
91	303	2998
92	305	2976
93	306	2952
94	307	2928
95	308	2900
96	309	2877
97	310	2854
98	311	2830
99	311	2804
100	313	2791
101	314	2770
102	315	2751
103	316	2730
104	317	2708
105	318	2686
106	319	2664
107	320	2643
108	321	2625
109	322	2607
110	323	2588
111	323	2568
112	324	2547
113	325	2528
114	326	2509
115	327	2493
116	328	2479
117	329	2463
118	330	2445
119	330	2425
120	331	2407
121	332	2390
122	332	2373
123	333	2356
124	334	2339
125	335	2325
126	336	2311
127	337	2297
128	338	2283
129	338	2268
130	339	2253
131	340	2238
132	341	2223
133	342	2215
134	344	2204
135	344	2191
136	345	2177
137	346	2163
138	347	2149
139	347	2136
140	348	2122
141	349	2110
142	350	2100
143	351	2089
144	352	2078
145	353	2066
146	354	2054
147	354	2041
148	355	2029
149	356	2017
150	357	2008
151	358	2000
152	359	1990
153	360	1979
154	361	1968
155	361	1957
156	362	1945
157	363	1934
158	363	1923
159	364	1914
160	365	1906
161	366	1897
162	367	1887
163	368	1878
164	369	1868
165	369	1858
166	370	1848
167	371	1838
168	373	1835
169	374	1830
170	376	1822
171	377	1815
172	378	1808
173	380	1804
174	381	1800
175	383	1794
176	384	1788
177	385	1782
178	388	1782
179	390	1777
180	391	1772
181	392	1765
182	393	1758
183	395	1754
184	397	1750
185	398	1744
186	399	1737
187	400	1730
188	401	1724
189	403	1720
190	404	1714
191	406	1708
192	406	1701
193	407	1694
194	409	1688
195	410	1684
196	411	1678
197	413	1673
198	414	1666
199	415	1660
200	416	1656
201	418	1653
202	419	1648
203	421	1642
204	421	1636
205	422	1629
206	423	1623
207	425	1619
208	426	1613
209	427	1608
210	428	1602
211	429	1596
212	430	1591
213	432	1587
214	433	1583
215	435	1579
216	436	1573
217	437	1568
218	438	1562
219	439	1556
220	440	1552
221	441	1546
222	442	1542
223	443	1536
224	444	1531
225	445	1527
226	447	1523
227	449	1520
228	450	1516
229	451	1511
230	452	1505
231	453	1500
232	454	1496
233	455	1491
234	456	1486
235	457	1482
236	458	1477
237	459	1472
238	461	1467
239	462	1465
240	463	1461
241	465	1457
